0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
49882.224084409936,49930.53249276005,50098.71543257229,49908.207945239024,50296.58338643799,50445.69782537592,49902.12403728527,49843.7084176378,50056.289253751995,50414.68336289948,50191.659679228294,50274.520215148055,50314.50409128265,50194.59398681187,50139.0955604046,50233.094465209026,50159.214059661535,50400.09678855891,50048.249802900435,50125.995579264985,50203.057495817826,50714.02755957935,50423.999138479056,50500.28691592779,50303.16363312987,50091.88623837075,50118.12429610521,49983.257856966135,50323.23181719671,50686.7475670033,50462.707841712414,50275.15247312055,50373.42055353608,50802.75788120646,50715.46594173577,50251.39174915389
49689.85909414987,49866.99335753811,50233.734720307606,49780.47313499099,50128.640611404575,50326.43240378032,49817.8581461194,49902.423654812774,50272.57560524149,50417.739903609385,50266.03752803756,49975.76213744435,50094.89496399206,49760.9373185734,50288.28890838394,50022.58764126484,50201.6232368001,50341.49374697431,49906.23996193423,49998.341506163364,50421.08990741423,50779.60705199477,50547.41473225941,50115.89684709907,50409.950017981995,50222.04343204048,50320.82259503964,50008.82343029344,50368.861364623604,50400.28514526782,50160.26535671767,50075.79692132798,50682.637612452796,50527.18410455883,50671.19588877345,50206.53603330207
49949.24162714754,49936.772984466064,49647.39084478305,49727.96157563721,50187.914993477374,50275.66460386183,49999.85072145895,49779.09097393273,50068.09781855737,50287.04375561131,50221.33308959629,50352.19519395437,50250.81186155724,50064.99659580366,50267.05347541086,49847.5669561733,50113.44873860923,50482.387290619954,50106.08130359958,50154.29621142286,50325.87751878289,50414.213014550216,50584.71586059429,50193.91598681441,50199.72905181294,50172.50329601444,50238.26081480349,49848.9345063608,50277.31253330376,50469.21002145878,50505.9186786207,50268.607433080615,50676.60362432712,50779.231639018544,50515.85436863159,50270.558121994145
49866.55560580765,49936.89318179484,50115.02025153294,50012.413882150395,50145.06283648747,50420.02698480248,50000.44087705376,49875.70466733814,50020.852568837734,50249.27577278753,50243.912944661184,50080.56675828176,50125.86308351429,50138.47596706693,50338.76177141565,49943.20406941396,49798.12790100054,49842.3202850594,50093.10519774527,50156.035841754005,50386.037738302926,50637.465322767435,50478.40255458425,50192.12772340485,50119.73877348863,50173.57507106087,50316.815964561814,49908.5126822926,50418.80165465026,50512.948802668616,50442.92563633671,50195.01423999794,50753.872865253936,50639.573773816155,50523.936048039526,50258.71708816448
49988.24135928683,49934.94763345989,49975.73886153695,49949.95457589264,50208.73331145791,50553.56709710995,49818.072928117654,49554.687876467535,50146.98164860029,50358.97574364767,50116.10606905937,50199.311183517275,50049.543445162024,49907.97564833981,50233.77764807164,49805.43049571453,49995.23551516653,50367.04260278747,49997.4922817381,49925.14103071105,49900.961555746544,50613.589253123384,50496.487857052045,50211.090921774456,50268.49316349482,50090.9350962992,50065.83137661115,49830.126382778806,50219.39494409325,50660.38734384821,49984.46059913135,50084.21560315751,50526.46430287553,50715.48381393178,50735.886892074945,50146.8214081897
49919.16655233954,49786.444985347436,49969.109534788906,49661.6399653341,49998.7610006091,50454.609408528086,49931.99609418609,49744.97828240505,50147.369878249,50325.73835711406,50202.95665868115,50020.6042588108,50248.71954377972,50107.63371876113,50114.69308853828,49749.60746372563,50164.00337465107,50370.27566998909,50037.773606656774,50068.26555574792,50281.85056195373,50591.26265176179,50544.84394771175,50258.47689663904,50489.8264043166,50021.49163512018,50079.44206442314,49852.10241049676,50331.28642879192,50515.406256330214,50331.00474245744,50281.52589356249,50679.996118687595,50735.43221815169,50654.549700814256,50181.55805678423
49721.85905031115,49913.00349200306,50035.21117433138,49777.36741470611,50271.732732757904,50448.19725815896,49822.34706271165,49701.299073678354,50023.3858948819,50413.82459828982,50294.017209708916,49905.29913088391,50190.09419153937,50168.660365112846,50090.13953353679,49982.36342846725,50128.74098770463,50381.750487151374,50075.65584392543,49996.17390633055,50385.91131869708,50444.36941412685,50609.62081323217,50217.181045784855,50216.23758667635,50168.24240509715,50189.5087040889,50000.38819502896,50543.019472520224,50605.01305861651,50051.91172197014,50239.39326279163,50589.27849951783,50660.320156904156,50468.79270490074,50180.623649785266
49832.54998170679,49954.24710235056,50123.436130528666,50049.60413973931,50076.24676609562,50230.756506212245,50269.53170319883,49528.05433222029,50087.654586539444,50322.404946250266,50209.00912535008,49921.84493764787,50075.067845667385,50132.10583937424,50287.55545601943,50040.93007791646,50328.21552181887,50349.7054117483,49953.35930551137,49685.81230291558,50453.21037766988,50627.21369120656,50665.50874718178,50202.04566462981,50166.259804413894,50101.477681933604,50396.90870907727,49891.88118811311,50264.07250563027,50455.681944506265,50158.69525557506,50106.045923218946,50581.49066820071,50840.89253831407,50689.87994500285,50223.61381918432
49879.31447247093,49820.39452079438,50074.49699044798,50077.16168828663,50151.42170074119,50304.64306623119,50134.55868570076,49802.16303967361,50101.42275480836,50354.28009074221,50249.0091294014,50060.899712202016,49955.288599762156,50038.54061923389,50327.712000882224,49853.96754891976,50112.87608657596,50435.89155137246,50599.57288562837,50057.157485514486,50414.472143783845,50688.92576019967,50495.138464597796,50167.95731002278,50028.271092012,50062.982039982555,50187.352407256505,50040.5381997312,50365.17977257564,50432.27804541122,50360.19490197408,50222.9620650914,50456.7270937825,50824.499945544194,50581.717187503586,50256.707617960936
49842.808956384964,49800.10985465027,50214.083285469766,49759.90810942343,50234.55506240943,50117.382016068426,49821.09707087625,49915.06483128338,50219.71987098031,50295.41631392867,50289.555022891196,49935.149253695374,50275.95737188526,50058.60089314644,50657.46949302567,49935.99769394954,50226.835292887605,50211.83543647758,50056.247204866995,50057.34229103625,50472.45972803489,50764.1308206161,50666.958080983146,50121.78916661402,50070.13651710356,50157.46691430682,50079.382454404775,50047.996941023644,50372.8396469675,50221.64628538145,50393.375979915945,50367.79570170283,50796.98933646118,50793.254578448956,50635.00663563968,50173.35283011183
